ID,Movie_Name,Movie_Score,Review_Count,Movie_Star_Distribution,Collect_Date,Username,Post_Date,Score,User_Comment,User_Comment_Distribution,Comment_Like_Count,Movie_Tags
9140,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,huihui,2012-02-16,5,之前看了个头，四年之后终于把剩下的三分之一看完了……还是很享受,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9141,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,曾梦想仗剑走天涯,2016-07-25,4,叙事结构抄《公民凯恩》，剧情串联学《莫扎特》。贝多芬说：音乐的力量就是直接将听众带入作者的精神世界，所以有了，故事和画面，音乐盲如我也能更容易地理解大师作品，以此而论，值得四星。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9142,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,森雨空漠海,2019-09-30,5,徜徉在布满星星的夜河，聆听黑暗中一切,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9143,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,dpsalon,2014-03-02,5,贝多芬比莫扎特小十五岁，当他崭露头角的时候，莫扎特去世了，而他自己的也因耳疾，失去了音乐家最珍贵的听力。但是他比莫扎特要坚强，他坚持到了最后，掐住了命运的喉咙。,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9144,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,:::Sinlim:::,2009-08-13,5,"又是一段錯過的愛情悲劇。
欣賞編劇和導演的詮釋法。",76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9145,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,soul,2015-03-07,4,他聋了 他一直在写 写他的快乐 写他的反抗 写他的愤懑 音乐是催眠术 那封情书太深情,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9146,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,sentimentalita,2015-06-06,5,贝九由人声欢乐而震撼地吟唱出来，终于自由的小男孩仿佛躺进银河里打了个旋儿，鼻子酸到哭不出来。这就是萦绕千年不散的音乐的魔法。,76%20%4%,1,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9147,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,stevencheung,2011-12-15,5,周初前兩天，斷斷續續看了這部，我看出編輯的好來,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9148,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,.Shu,2011-11-16,4,我以为我要看一个音乐爱情片。。。结果是一个超虐的剧情片~,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
9149,不朽真情 Immortal Beloved,8.0,3581,27.5%47.5%21.9%2.5%0.6%,2019-10-05,冰疙瘩,2012-02-03,4,音乐就够了,76%20%4%,0,"['音乐', '电影', '爱情', '故事', '有点', '剧情', '天才', '狗血', '时候', '传记', '月光', '星空', '音乐家', '钢琴', '爱人', '结尾', '片子', '本片', '交响曲', '作品']"
